"id";"name";"parentId";"createdAt";"updatedAt"
1;BIG 1;1;2025-11-29 03:13:24.157;2025-11-29 11:57:42.991
2;BIG 2;1;2025-11-29 03:13:24.210;2025-11-29 11:57:43.051
3;Cakra;1;2025-11-29 03:13:24.237;2025-11-29 11:57:43.081
4;Limo;1;2025-11-29 03:13:24.265;2025-11-29 11:57:43.110
5;Maruyung;1;2025-11-29 03:13:24.292;2025-11-29 11:57:43.140
7;Bintaro Jaya Barat;2;2025-11-29 03:13:24.319;2025-11-29 11:57:43.169
8;Bintaro Jaya Timur;2;2025-11-29 03:13:24.348;2025-11-29 11:57:43.198
9;Bintaro Jaya Utama;2;2025-11-29 03:13:24.373;2025-11-29 11:57:43.231
10;Bintaro Tis'wah Wa Chomsah 1;2;2025-11-29 03:13:24.399;2025-11-29 11:57:43.260
11;Bintaro Tis'wah Wa Chomsah 2;2;2025-11-29 03:13:24.425;2025-11-29 11:57:43.290
12;Pondok Ranji Timur;2;2025-11-29 03:13:24.451;2025-11-29 11:57:43.320
13;Pondok Ranji Barat;2;2025-11-29 03:13:24.478;2025-11-29 11:57:43.350
14;Pondok Jaya;2;2025-11-29 03:13:24.503;2025-11-29 11:57:43.380
15;Gandul Utara;3;2025-11-29 03:13:24.529;2025-11-29 11:57:43.412
16;Gandul Selatan;3;2025-11-29 03:13:24.555;2025-11-29 11:57:43.439
17;Cipedak;3;2025-11-29 03:13:24.582;2025-11-29 11:57:43.467
18;Ciganjur;3;2025-11-29 03:13:24.607;2025-11-29 11:57:43.499
19;Cinere;3;2025-11-29 03:13:24.633;2025-11-29 11:57:43.526
20;Antena;4;2025-11-29 03:13:24.660;2025-11-29 11:57:43.555
21;Bungur;4;2025-11-29 03:13:24.686;2025-11-29 11:57:43.579
22;Cipete Selatan;4;2025-11-29 03:13:24.712;2025-11-29 11:57:43.607
23;Karya Utama;4;2025-11-29 03:13:24.737;2025-11-29 11:57:43.636
24;Kramat Batu;4;2025-11-29 03:13:24.763;2025-11-29 11:57:43.664
25;Praja;4;2025-11-29 03:13:24.789;2025-11-29 11:57:43.692
26;Radio Dalam;4;2025-11-29 03:13:24.820;2025-11-29 11:57:43.720
27;Sanggar;4;2025-11-29 03:13:24.845;2025-11-29 11:57:43.748
28;Senayan;5;2025-11-29 03:13:24.871;2025-11-29 11:57:43.776
29;Kemandoran;5;2025-11-29 03:13:24.898;2025-11-29 11:57:43.805
30;SBI;5;2025-11-29 03:13:24.923;2025-11-29 11:57:44.062
31;Cidodol;5;2025-11-29 03:13:24.950;2025-11-29 11:57:44.090
32;Gunung;5;2025-11-29 03:13:24.975;2025-11-29 11:57:44.120
33;Sriwijaya;5;2025-11-29 03:13:25.001;2025-11-29 11:57:44.150
34;Poncol;5;2025-11-29 03:13:25.026;2025-11-29 11:57:44.179
35;PIU;6;2025-11-29 03:13:25.058;2025-11-29 11:57:44.208
36;PIS;6;2025-11-29 03:13:25.083;2025-11-29 11:57:44.238
37;Mawar 1;6;2025-11-29 03:13:25.109;2025-11-29 11:57:44.268
38;Mawar 2;6;2025-11-29 03:13:25.135;2025-11-29 11:57:44.298
39;Rempoa;6;2025-11-29 03:13:25.161;2025-11-29 11:57:44.326
40;Bulak Indah;7;2025-11-29 03:13:25.195;2025-11-29 11:57:44.357
41;Wadasari;7;2025-11-29 03:13:25.221;2025-11-29 11:57:44.386
42;Delok;7;2025-11-29 03:13:25.247;2025-11-29 11:57:44.415
43;Binut;7;2025-11-29 03:13:25.274;2025-11-29 11:57:44.444
44;Binsel;7;2025-11-29 03:13:25.299;2025-11-29 11:57:44.474
45;Bintim;7;2025-11-29 03:13:25.325;2025-11-29 11:57:44.503
